emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7
-8.122835518859006232e-02,-8.340108574987370460e-02,-9.182817555861033654e-02,1.776753304648308607e-01,1.690093381450221699e-01,-2.170987101768773186e-02,9.116397444264023875e-02,-5.536621316589018793e-02
-6.453883123716175341e-01,1.477329651334886584e-01,1.518065441816909722e+00,4.246572985669450517e+00,1.711491770343157270e+01,2.637797607036654313e+01,-1.644908325782032943e+00,-7.840670939684897256e-01
-2.984996381170137436e-01,-7.046216692427877959e-01,1.402062524706042534e+00,5.034939438045699767e+00,2.282534761802189394e+01,3.665188123874103354e+01,-1.949288313012304208e+00,-8.665608453337472206e-01
-3.162817402265889477e-01,4.380448111971830816e-01,2.808067467469385292e+00,5.039995936119828102e+00,2.149304847094332871e+01,3.367714504008591092e+01,-1.382565461279281260e+00,-5.791770028984788432e-02
4.427062091321224635e+00,3.963580025540256901e+00,3.229224374132351194e+00,5.095275555158390368e+00,1.490079081989306964e+01,2.138859717358408830e+01,4.231011181217725792e+00,4.651157470951579498e+00
1.028773857292451410e+00,3.322307556373416126e-01,-1.101433455976645437e+00,-1.888437993404407322e+00,-3.026087014714743617e+00,-1.846726446012468159e+00,1.049751998728861935e+00,1.202384722792782412e+00
4.364962604020653281e+00,3.636986491735273663e+00,8.888057924790149222e-01,-2.677578508105881383e+00,-1.663976903047915101e+01,-1.988346995679698637e+01,6.071326342732601411e+00,6.446531676137661648e+00
4.590832166010476278e+00,4.877158732418754639e+00,1.199879269134042969e+00,-3.682704168869596284e+00,-2.398947901652702086e+01,-2.624235774364565543e+01,6.387048347690685191e+00,5.960165817598017668e+00
2.531150272908955223e+00,2.814663193753817794e+00,-2.846684629323967819e-01,-3.389412141154839020e+00,-2.352371626704283614e+01,-2.569810633959356139e+01,1.197359970624332526e+00,1.517506824519857744e+00
6.800388692787014300e+00,8.371311569047378498e+00,7.108100838941757260e+00,7.307270580835723450e+00,-9.585527382531758178e+00,-8.369828911576355779e+00,1.903140578144793427e+00,4.787973216371861795e+00
5.092089988786019816e+00,5.023846957186624884e+00,4.840065309285286332e+00,6.440097893219111747e+00,3.930836254466168356e+00,6.803694263209081328e-02,7.786059196973540431e-01,3.245253016160883242e+00
-3.502809752766702367e+00,-2.492120521975594194e+00,-2.468897156780482938e-01,2.474004847246371597e+00,1.712264979581021862e+01,1.601629978966601797e+01,-6.551006555938103659e+00,-5.186417065904439738e+00
-5.799340767098554394e+00,-5.074942227214018331e+00,-1.553380485341414374e+00,3.062853002017169146e+00,2.703908676028671465e+01,4.143725275274221076e+01,-3.416956044560651495e+00,-5.756820932072860941e+00
-5.937604157026018292e+00,-6.648998184695599889e+00,-3.343811603655858278e+00,-2.922787531749919676e-01,2.175144479834637323e+01,3.100687467196001990e+01,-1.225514312164627029e+00,-4.451917971663106322e+00
-3.554400954626910192e+00,-4.079467079338101598e+00,-1.918029545462784036e+00,-2.301676340761518169e+00,8.611550735344113860e+00,1.625813183703650111e+01,-8.967201983673906973e-01,-2.474541411020346082e+00
-7.621086136425327950e-01,-1.300876938960236373e+00,-1.546681802016677043e+00,-6.415086020336914885e+00,-9.170089037452925140e+00,-1.263763026700821968e+01,-2.628807949703794833e+00,-8.583856630897228612e-01
-1.885263922917408408e-01,-7.007885972818455045e-01,-1.879377838129509204e+00,-7.559038940638322934e+00,-2.695510163873593967e+01,-6.267977768753918610e+01,-1.655085155049922374e+00,-9.256768397478856159e-01
-1.965811306990750129e+00,-2.701566949592833833e+00,-4.132301957913335322e+00,-7.442547520118538706e+00,-3.213594289998219722e+01,-7.193165008781903680e+01,1.168301306833015474e+00,-7.245460858805157223e-01
3.769934903102720725e-01,-9.180078433158906925e-01,-2.075506685315147148e+00,-2.341622975339865853e+00,-1.777209318470058008e+01,-2.546361282214250465e+01,3.436193411070898485e+00,1.180868617904438533e+00
-3.707644573804468990e+00,-3.944302716865743186e+00,-4.002020264925587156e+00,-3.583140004174727444e+00,3.054792916374182710e-02,1.914352147006695759e+01,-9.164727488201827033e-01,-3.379207743989623758e+00
7.513582830359450959e-01,5.633873206537103329e-01,1.842596642885866665e+00,2.931646971660525125e+00,9.370007036715845672e+00,2.689787388403154722e+01,1.791072456417892589e+00,8.814051895228156575e-01
-3.147661788013379258e+00,-2.547564275557676616e+00,-3.421071478087627238e-01,4.123157709957204098e+00,1.573985351221720741e+01,2.745788752962668866e+01,-3.254434450229232390e+00,-2.987042682839517571e+00
-8.995047213906299799e-01,-4.967475210565359678e-01,9.157419648483196006e-01,6.427022434510799798e+00,2.314124395969138348e+01,3.435156713222760061e+01,-1.060475668951961215e+00,-8.100399543530324431e-01
2.460034568698000523e+00,3.754148155129302111e+00,3.483777954693927814e+00,5.784988028963142348e+00,2.202973023792777951e+01,3.145293862089021886e+01,1.043796122077211841e+00,2.011586367413818799e+00
